Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
adenna-sterilization-pouches-2-1-4-x-4,ADENNA STERILIZATION POUCHES 2 1/4” x 4”,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,6,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
adenna-sterilization-pouches-2-x-8,ADENNA STERILIZATION POUCHES 2” x 8”,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,6.95,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
adenna-sterilization-pouches-2-3-4-x-9,ADENNA STERILIZATION POUCHES 2 3/4” x 9”,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,7.5,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
adenna-sterilization-pouches-31-2-x-51-4,"ADENNA STERILIZATION POUCHES 31/2"" x 51/4",,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,6.25,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
adenna-sterilization-pouches-3-1-2-x-9,ADENNA STERILIZATION POUCHES 3 1/2” x 9”,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,7.75,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
adenna-sterilization-pouches-5-1-4-x-7-1-2,ADENNA STERILIZATION POUCHES 5 1/4” x 7 1/2”,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,11.75,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
adenna-sterilization-pouches-5-1-4-x-10,ADENNA STERILIZATION POUCHES 5 1/4” x 10”,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,11.75,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
surgical-tapes-3m-durapore-cloth-tape-1,SURGICAL TAPES 3M Durapore Cloth Tape - 1”,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,14,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
surgical-tapes-3m-durapore-cloth-tape-1-2,SURGICAL TAPES 3M Durapore Cloth Tape - 1/2”,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,14,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
surgical-tapes-3m-micropore-paper-tape-1,SURGICAL TAPES 3M Micropore Paper Tape - 1”,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,11,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
surgical-tapes-3m-micropore-paper-tape-1-2,SURGICAL TAPES 3M Micropore Paper Tape - 1/2”,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,11,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
surgical-tapes-3m-transpore-clear-tape-1,SURGICAL TAPES 3M Transpore Clear Tape - 1”,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,15,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
surgical-tapes-3m-transpore-clear-tape-1-2,SURGICAL TAPES 3M Transpore Clear Tape - 1/2”,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,15,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
surgical-tapes-cloth-surgical-tape-1,SURGICAL TAPES Cloth Surgical Tape - 1”,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,12,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
surgical-tapes-cloth-surgical-tape-1-2,SURGICAL TAPES Cloth Surgical Tape - 1/2”,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,12,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
surgical-tapes-paper-surgical-tape-1,SURGICAL TAPES Paper Surgical Tape - 1”,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,8.5,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
surgical-tapes-paper-surgical-tape-1-2,SURGICAL TAPES Paper Surgical Tape - 1/2”,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,8.5,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
surgical-tapes-clear-surgical-tape-1,SURGICAL TAPES Clear Surgical Tape - 1”,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,12.5,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
surgical-tapes-clear-surgical-tape-1-2,SURGICAL TAPES Clear Surgical Tape - 1/2”,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,12.5,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
cohesive-bandages-1-x-5-yards-assorted-colors,COHESIVE BANDAGES 1” x 5 Yards - Assorted Colors,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,13.95,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
cohesive-bandages-1-x-5-yards-black,COHESIVE BANDAGES 1” x 5 Yards - Black,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,15.95,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
cohesive-bandages-2-x-5-yards-assorted-colors,COHESIVE BANDAGES 2” x 5 Yards - Assorted Colors,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,32.95,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
cohesive-bandages-2-x-5-yards-black,COHESIVE BANDAGES 2” x 5 Yards - Black,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,33.95,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
cohesive-bandages-3-x-5-yards-assorted-colors,COHESIVE BANDAGES 3” x 5 Yards - Assorted Colors,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,33.95,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
cohesive-bandages-4-x-5-yards-assorted-colors,COHESIVE BANDAGES 4” x 5 Yards - Assorted Colors,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,29,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
dressing-retainers-size-3-9-x-25-yards,DRESSING RETAINERS SIZE 3: 9” x 25 Yards,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,12,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
dressing-retainers-size-4-11-x-25-yards,DRESSING RETAINERS SIZE 4: 11” x 25 Yards,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,13,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
dressing-retainers-size-4-12-x-25-yards,DRESSING RETAINERS SIZE 4: 12” x 25 Yards,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,13,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
gauze-sponges-2-x-2-non-sterile,GAUZE SPONGES 2” x 2” Non-Sterile,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,2.5,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
gauze-sponges-2-x-2-sterile,GAUZE SPONGES 2” x 2” Sterile,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,2.95,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
gauze-sponges-3-x-3-non-sterile,GAUZE SPONGES 3” x 3” Non-Sterile,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,3.5,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
gauze-sponges-3-x-3-sterile,GAUZE SPONGES 3” x 3” Sterile,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,4.5,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
gauze-sponges-4-x-4-non-sterile,GAUZE SPONGES 4” x 4” Non-Sterile,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,4.5,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
gauze-sponges-4-x-4-sterile,GAUZE SPONGES 4” x 4” Sterile,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,4.5,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
non-adherent-sterile-pads-3-x-4,NON-ADHERENT STERILE PADS 3” x 4”,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,79,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
non-adherent-sterile-pads-3-x-8,NON-ADHERENT STERILE PADS 3” x 8”,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,11.95,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
non-adherent-sterile-pads-8-x-10,NON-ADHERENT STERILE PADS 8” x 10”,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,26.95,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
non-woven-gauze-sponges-2-x-2-non-sterile,NON-WOVEN GAUZE SPONGES 2” x 2” Non-Sterile,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,2.5,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
non-woven-gauze-sponges-2-x-2-steril,NON-WOVEN GAUZE SPONGES 2” x 2” Steril,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,1.75,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
non-woven-gauze-sponges-4-x-4-non-sterile,NON-WOVEN GAUZE SPONGES 4” x 4” Non-Sterile,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,4.95,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
non-woven-gauze-sponges-4-x-4-sterile,NON-WOVEN GAUZE SPONGES 4” x 4” Sterile,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,3.75,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
saniderm-tattoo-adhesive-film-6-x-8yd,SANIDERM TATTOO ADHESIVE FILM 6” x 8yd,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,35.95,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
saniderm-tattoo-adhesive-film-10-x-8yd,SANIDERM TATTOO ADHESIVE FILM 10” x 8yd,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,45.95,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
saniderm-tattoo-adhesive-film-10-x-2yd,SANIDERM TATTOO ADHESIVE FILM 10” x 2yd,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,16.95,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
saniderm-tattoo-adhesive-film-4-x-8yd,SANIDERM TATTOO ADHESIVE FILM 4” x 8yd,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,31.95,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
saniderm-tattoo-adhesive-film-8-x-8yd,SANIDERM TATTOO ADHESIVE FILM 8” x 8yd,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,39.95,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
black-powder-solidifier-25ml-ja,BLACK POWDER SOLIDIFIER 25ml Ja,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,3.5,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
black-powder-solidifier-300ml-bottle,BLACK POWDER SOLIDIFIER 300ml Bottle,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,22.5,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
black-powder-solidifier-1000ml-tub,BLACK POWDER SOLIDIFIER 1000ml Tub,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,70,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
gentian-violet-applicator-sticks,GENTIAN VIOLET APPLICATOR STICKS,,Kingpin Supply,Medical Supplies and Sterilization Equipment,,TRUE,Title,Default Title,,,,,,,,,deny,manual,13.5,,TRUE,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
